-2.000	1
-1.960	0.838545381
-1.920	0.690598939
-1.880	0.555533339
-1.840	0.432734181
-1.800	0.3216
-1.760	0.221542265
-1.720	0.131985381
-1.680	0.052366686
-1.640	-0.017863545
-1.600	-0.079242105
-1.560	-0.132292851
-1.520	-0.177526703
-1.480	-0.215441651
-1.440	-0.246522745
-1.400	-0.271242105
-1.360	-0.290058914
-1.320	-0.303419419
-1.280	-0.311756935
-1.240	-0.31549184
-1.200	-0.315031579
-1.160	-0.310770661
-1.120	-0.303090661
-1.080	-0.292360219
-1.040	-0.27893504
-1.000	-0.263157895
-0.960	-0.245358619
-0.920	-0.225854114
-0.880	-0.204948345
-0.840	-0.182932345
-0.800	-0.160084211
-0.760	-0.136669103
-0.720	-0.112939251
-0.680	-0.089133945
-0.640	-0.065479545
-0.600	-0.042189474
-0.560	-0.019464219
-0.520	0.002508665
-0.480	0.02355456
-0.440	0.043511781
-0.400	0.062231579
-0.360	0.079578139
-0.320	0.095428581
-0.280	0.10967296
-0.240	0.122214265
-0.200	0.132968421
-0.160	0.141864286
-0.120	0.148843655
-0.080	0.153861255
-0.040	0.156884749
0.000	0.157894737
0.040	0.156884749
0.080	0.153861255
0.120	0.148843655
0.160	0.141864286
0.200	0.132968421
0.240	0.122214265
0.280	0.10967296
0.320	0.095428581
0.360	0.079578139
0.400	0.062231579
0.440	0.043511781
0.480	0.02355456
0.520	0.002508665
0.560	-0.019464219
0.600	-0.042189474
0.640	-0.065479545
0.680	-0.089133945
0.720	-0.112939251
0.760	-0.136669103
0.800	-0.160084211
0.840	-0.182932345
0.880	-0.204948345
0.920	-0.225854114
0.960	-0.245358619
1.000	-0.263157895
1.040	-0.27893504
1.080	-0.292360219
1.120	-0.303090661
1.160	-0.310770661
1.200	-0.315031579
1.240	-0.31549184
1.280	-0.311756935
1.320	-0.303419419
1.360	-0.290058914
1.400	-0.271242105
1.440	-0.246522745
1.480	-0.215441651
1.520	-0.177526703
1.560	-0.132292851
1.600	-0.079242105
1.640	-0.017863545
1.680	0.052366686
1.720	0.131985381
1.760	0.221542265
1.800	0.3216
1.840	0.432734181
1.880	0.555533339
1.920	0.690598939
1.960	0.838545381
